category,tag
Religion,church
Unmatch,sightseeing
Religion,temple
Unmatch,restaurant
History,tourguide
Nature,landmark
Unmatch,sights
Unmatch,attraction
Shopping,commercialplace
Unmatch,activities
Unmatch,professionalservices
Museum,museum
Religion,historicplace
History,historic
Unmatch,pharmacy
History,square
Unmatch,transport
Unmatch,train
Shopping,shopping
History,capitol
Nature,hiking
Sport,sports
Sport,bike
Unmatch,rental
Unmatch,events
Music,musicvenue
Unmatch,taxi
Unmatch,bus
Unmatch,fastfood
Unmatch,pizza
Religion,statue
Shopping,mall
Unmatch,parking
Unmatch,street
Unmatch,metro
Unmatch,metrostation
Unmatch,busstop
Unmatch,regionalcuisine
Unmatch,bar
Unmatch,patio
Nature,garden
History,souvenir
Art,theater
Unmatch,latte
Art,artgallerie
Nature,park
Sport,stadium
Sport,sportclub
Unmatch,club
Unmatch,hospital
Unmatch,medicalcenter
Unmatch,tapas
Unmatch,gastropub
Unmatch,seafood
History,gift
Sport,gym
Unmatch,education
Art,bridge
Unmatch,marina
Art,building
Nature,harbor
History,castle
Sport,skating
Unmatch,activelife
Unmatch,beauty&spas
Unmatch,schools
Music,festival
Shopping,cheap
History,library
Nature,outdoorplace
Unmatch,fairground
Unmatch,breakfast
Unmatch,trainstation
Nature,nature
Music,operahouse
Unmatch,publicplace
Unmatch,tea
Unmatch,bakery
Unmatch,health&medical
Shopping,clothing
Shopping,fashion
Unmatch,liquor
Unmatch,grills
Unmatch,nightlife
Unmatch,icecream
Unmatch,coffee
Unmatch,steakhouse
Unmatch,nightclub
Unmatch,thai
Museum,aquarium
Museum,lighthouse
Unmatch,barbecue
Nature,lake
Nature,field
Sport,cricket
Shopping,luxurybybrand
Unmatch,busstation
Unmatch,brewery
Unmatch,pub
Unmatch,taco
Unmatch,banquethalls
Unmatch,smoke
Unmatch,food
Unmatch,vegetarian
Unmatch,burger
